selection_round,candidate_id,address,selection_score,marginal_population,capacity_filled,_distance,overall_score
1,green_p_710,100 Grangeway Avenue,0.7307893907056662,17892.0,214,10033.701714351735,0.7877772435089739
2,green_p_821,Kennedy South Lot -155 Transway Cres,0.7839313558720464,25262.0,673,4846.685331526778,0.7454211648500446
3,green_p_813,Finch West Lot - 18 Hendon Ave,0.7736629978614873,29868.0,1552,2154.160919821726,0.732036746462456
4,green_p_816,Don Mills Lot - 1800 Sheppard Ave East,0.7880014875993803,28198.0,366,2471.944273013084,0.7002337786544738
5,green_p_802,Islington Main Lot - 3330 Bloor Street West,0.7407311356078161,21146.0,534,1835.6864604538348,0.6812063325696354
6,green_p_811,Wilson Main Lot - 50 Wilson Heights Blvd,0.7126858921553847,8997.0,885,4069.0438469022133,0.6902885871859884
7,green_p_668,2700 Eglinton Avenue West,0.7254126137392116,15510.0,109,3022.437315110541,0.625248621230211
8,green_p_823,Warden South Lot - 701 Warden Ave,0.7250297028914345,16273.0,151,2756.799586787294,0.6421663654380737
9,green_p_663,1 Shortt Street,0.7176329395311691,20889.0,130,1997.3831300485854,0.6074770835736472
10,green_p_824,Victoria Main Lot - 777 Victoria Park Avenue,0.7105105676533559,21682.0,173,1260.2575526171,0.6372507756875279
11,green_p_152,25 Glenforest Road,0.7279268157597923,17929.0,26,2696.18516612222,0.5644207660998856
12,green_p_709,1940 Lawrence Avenue East,0.7148306898448866,12411.0,25,3200.8237426611076,0.6488482617638213
13,green_p_510,3239 Lake Shore Boulevard West,0.6952362606959447,10608.0,22,3365.6064842356236,0.5910347163945981
14,green_p_818,Lawrence East Lot - Near 2450 Lawrence Ave East,0.676693476329489,12996.0,90,2141.116287568004,0.7072896681129822
15,green_p_602,1503 Bayview Avenue,0.6698271163251409,17567.0,25,1793.0772765196693,0.5364359336088443
16,green_p_283,100 Cooperage Street,0.6910628353335206,15573.0,86,1260.4670987190736,0.6043105792382595
17,green_p_266,250 Fort York Blvd. ,0.6878349509657751,14481.0,49,1120.801033253872,0.6147923587248697
18,green_p_657,271A Scarlett Road,0.68070959038667,12175.0,11,2416.3768768714444,0.5765757780816441
19,green_p_706,284 Milner Avenue,0.6646744403838749,12066.0,103,1952.2374759134666,0.7420596630870859
20,green_p_47,125 Burnaby Blvd,0.5892245436953402,9838.0,154,1290.18304158834,0.5900328547070993
